case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
fsbr,330,10.57713507,-5.699469411,-9.42286493,0.528856754,210,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.142857143,0.538461538,0.388888889
fsbr,540,11.37560329,-4.901001191,-8.62439671,0.568780165,540,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.111111111,0.538461538,0.5
fsbr,360,15.71084094,-0.565763541,-4.28915906,0.785542047,210,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.368421053
fsbr,180,14.38729847,-1.889306011,-5.61270153,0.719364924,330,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.272727273,0.538461538,0.647058824
fsbr,690,11.99909759,-4.277506891,-8.00090241,0.59995488,210,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.285714286,0.538461538,0.233333333
fsbr,480,16.34118828,0.064583799,-3.65881172,0.817059414,180,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.166666667,0.538461538,0.272727273
fsbr,750,13.90468574,-2.371918741,-6.09531426,0.695234287,180,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.193548387
fsbr,570,13.14067097,-3.135933511,-6.85932903,0.657033549,120,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.5,0.538461538,0.173913043
fsbr,420,14.60204255,-1.674561931,-5.39795745,0.730102128,180,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.5,0.538461538,0.3
fsbr,480,14.7852439,-1.491360581,-5.2147561,0.739262195,150,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.4,0.538461538,0.238095238
fsbr,840,15.08525213,-1.191352351,-4.91474787,0.754262607,120,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.125
fsbr,570,15.50359927,-0.773005211,-4.49640073,0.775179964,540,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.111111111,0.538461538,0.486486486
fsbr,360,14.75446154,-1.522142941,-5.24553846,0.737723077,300,120,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.4,0.538461538,0.454545455
