period,date,time,ped,cross,headway,speed,spcu,flow,case
1,"Saturday, June 19, 2021",11:33:00,5,7,0.16,17.5,2,375,shnaf
2,"Saturday, June 19, 2021",11:37:00,7,6,0.88,17,1,68.18181818,shnaf
3,"Saturday, June 19, 2021",11:40:00,15,3,0.2,30.8,7,300,shnaf
4,"Saturday, June 19, 2021",11:42:00,12,2,0.34,26.75,3.5,176.4705882,shnaf
5,"Saturday, June 19, 2021",11:45:00,11,3,0.53,41,1,113.2075472,shnaf
6,"Saturday, June 19, 2021",11:48:00,5,3,0.22,19.5,4,272.7272727,shnaf
7,"Saturday, June 19, 2021",11:53:00,4,2,0.42,23,1,142.8571429,shnaf
8,"Saturday, June 19, 2021",11:55:00,6,1,0.37,38,2.5,162.1621622,shnaf
9,"Saturday, June 19, 2021",12:01:00,6,4,0.43,21,2,139.5348837,shnaf
10,"Saturday, June 19, 2021",12:02:00,2,1,1,24,0,60,shnaf
11,"Saturday, June 19, 2021",12:07:00,8,1,0.57,25.33,3,105.2631579,shnaf
12,"Saturday, June 19, 2021",12:12:00,7,4,0.16,16,4,375,shnaf
13,"Saturday, June 19, 2021",12:15:00,12,3,0.36,25.33,3,166.6666667,shnaf
14,"Saturday, June 19, 2021",12:17:00,11,4,0.4,31,0.5,150,shnaf
15,"Saturday, June 19, 2021",12:19:00,8,6,0.23,20.33,4.5,260.8695652,shnaf
16,"Saturday, June 19, 2021",12:22:00,18,5,0.19,20,5.5,315.7894737,shnaf
17,"Saturday, June 19, 2021",12:24:00,20,6,0.69,21,2,86.95652174,shnaf
18,"Saturday, June 19, 2021",12:26:00,13,3,0.14,23.83,6,428.5714286,shnaf
19,"Saturday, June 19, 2021",12:29:00,6,2,0.27,27.5,2,222.2222222,shnaf
20,"Saturday, June 19, 2021",12:31:00,12,6,0.3,22.25,5,200,shnaf
21,"Saturday, June 19, 2021",12:33:00,4,1,0.4,19,2,150,shnaf
22,"Saturday, June 19, 2021",12:36:00,6,2,0.12,28,1,500,shnaf
23,"Saturday, June 19, 2021",12:38:00,6,3,0.1,30,1.5,600,shnaf
24,"Saturday, June 19, 2021",12:43:00,12,1,0.65,18,3,92.30769231,shnaf
25,"Saturday, June 19, 2021",12:45:00,4,3,1,24,0,60,shnaf
26,"Saturday, June 19, 2021",12:48:00,12,5,0.43,14.5,1,139.5348837,shnaf
27,"Saturday, June 19, 2021",12:50:00,13,8,0.49,25.67,4,122.4489796,shnaf
28,"Saturday, June 19, 2021",12:52:00,7,6,0.63,23,2,95.23809524,shnaf
29,"Saturday, June 19, 2021",12:54:00,17,4,1,24,0,60,shnaf
30,"Saturday, June 19, 2021",12:56:00,11,6,0.57,30,2,105.2631579,shnaf
