vid,date,time,type,pcu,speed,ped,cross,headway
1,"Saturday, June 19, 2021",11:33:46,long,3,14,5,7,0
2,"Saturday, June 19, 2021",11:33:51,moto,0.5,14,5,7,0.083
3,"Saturday, June 19, 2021",11:34:22,truck,2,20,5,7,0.517
4,"Saturday, June 19, 2021",11:34:41,car,1,21,5,7,0.317
5,"Saturday, June 19, 2021",11:37:27,moto,0.5,24,7,6,0.767
6,"Saturday, June 19, 2021",11:38:08,car,1,35,7,6,0.683
7,"Saturday, June 19, 2021",11:38:33,car,1,32,7,6,0.417
8,"Saturday, June 19, 2021",11:38:52,car,1,22,7,6,0.317
9,"Saturday, June 19, 2021",11:40:09,car,1,35,15,3,0.283
10,"Saturday, June 19, 2021",11:41:00,car,1,30,15,3,0.85
11,"Saturday, June 19, 2021",11:41:25,car,1,26,15,3,0.417
12,"Saturday, June 19, 2021",11:41:28,car,1,25,15,3,0.05
13,"Saturday, June 19, 2021",11:41:30,moto,0.5,26,15,3,0.033
14,"Saturday, June 19, 2021",11:42:07,car,1,37,12,2,0.617
15,"Saturday, June 19, 2021",11:42:46,moto,0.5,44,12,2,0.65
16,"Saturday, June 19, 2021",11:43:13,moto,0.5,30,12,2,0.45
17,"Saturday, June 19, 2021",11:43:37,car,1,48,12,2,0.4
18,"Saturday, June 19, 2021",11:43:50,car,1,34,12,2,0.217
19,"Saturday, June 19, 2021",11:45:13,car,1,5,11,3,0.383
20,"Saturday, June 19, 2021",11:45:22,moto,0.5,5,11,3,0.15
21,"Saturday, June 19, 2021",11:45:45,car,1,19,11,3,0.383
22,"Saturday, June 19, 2021",11:45:49,car,1,21,11,3,0.067
23,"Saturday, June 19, 2021",11:46:44,car,1,25,11,3,0.917
24,"Saturday, June 19, 2021",11:46:47,car,1,25,11,3,0.05
25,"Saturday, June 19, 2021",11:46:58,car,1,28,11,3,0.183
26,"Saturday, June 19, 2021",11:48:16,moto,0.5,26,5,3,0.3
27,"Saturday, June 19, 2021",11:48:35,car,1,6,5,3,0.317
28,"Saturday, June 19, 2021",11:48:49,car,1,11,5,3,0.233
29,"Saturday, June 19, 2021",11:48:57,car,1,9,5,3,0.133
30,"Saturday, June 19, 2021",11:48:58,car,1,8,5,3,0.017
31,"Saturday, June 19, 2021",11:48:58,car,1,8,5,3,0
32,"Saturday, June 19, 2021",11:49:03,moto,0.5,12,5,3,0.083
33,"Saturday, June 19, 2021",11:49:07,car,1,23,5,3,0.067
34,"Saturday, June 19, 2021",11:49:13,moto,0.5,14,5,3,0.1
35,"Saturday, June 19, 2021",11:49:16,car,1,12,5,3,0.05
36,"Saturday, June 19, 2021",11:49:42,car,1,30,5,3,0.433
37,"Saturday, June 19, 2021",11:49:49,car,1,20,5,3,0.117
38,"Saturday, June 19, 2021",11:53:01,car,1,31,4,2,0.2
39,"Saturday, June 19, 2021",11:53:17,moto,0.5,38,4,2,0.267
40,"Saturday, June 19, 2021",11:53:24,car,1,28,4,2,0.117
41,"Saturday, June 19, 2021",11:53:48,car,1,37,4,2,0.4
42,"Saturday, June 19, 2021",11:53:49,moto,0.5,35,4,2,0.017
43,"Saturday, June 19, 2021",11:54:14,car,1,38,4,2,0.417
44,"Saturday, June 19, 2021",11:54:15,moto,0.5,40,4,2,0.017
45,"Saturday, June 19, 2021",11:54:55,car,1,36,4,2,0.667
46,"Saturday, June 19, 2021",11:55:16,car,1,21,6,1,0.35
47,"Saturday, June 19, 2021",11:55:21,car,1,17,6,1,0.083
48,"Saturday, June 19, 2021",11:55:40,car,1,22,6,1,0.317
49,"Saturday, June 19, 2021",11:56:10,car,1,32,6,1,0.5
50,"Saturday, June 19, 2021",11:56:23,car,1,26,6,1,0.217
51,"Saturday, June 19, 2021",11:56:47,car,1,26,6,1,0.4
52,"Saturday, June 19, 2021",11:56:49,moto,0.5,40,6,1,0.033
53,"Saturday, June 19, 2021",12:03:10,car,1,23,2,1,0.35
54,"Saturday, June 19, 2021",12:03:29,car,1,6,2,1,0.317
55,"Saturday, June 19, 2021",12:03:41,car,1,25,2,1,0.2
56,"Saturday, June 19, 2021",12:07:28,moto,0.5,35,8,1,0.783
57,"Saturday, June 19, 2021",12:07:33,moto,0.5,44,8,1,0.083
58,"Saturday, June 19, 2021",12:08:12,car,1,16,8,1,0.65
59,"Saturday, June 19, 2021",12:08:23,car,1,36,8,1,0.183
60,"Saturday, June 19, 2021",12:08:31,car,1,25,8,1,0.133
61,"Saturday, June 19, 2021",12:12:21,car,1,28,7,4,0.833
62,"Saturday, June 19, 2021",12:12:41,car,1,22,7,4,0.333
63,"Saturday, June 19, 2021",12:13:34,truck,2,25,7,4,0.883
64,"Saturday, June 19, 2021",12:13:56,car,1,16,7,4,0.367
65,"Saturday, June 19, 2021",12:15:17,car,1,29,12,3,0.35
66,"Saturday, June 19, 2021",12:15:18,car,1,25,12,3,0.017
67,"Saturday, June 19, 2021",12:15:22,car,1,26,12,3,0.067
68,"Saturday, June 19, 2021",12:15:24,car,1,26,12,3,0.033
69,"Saturday, June 19, 2021",12:15:28,car,1,24,12,3,0.067
70,"Saturday, June 19, 2021",12:15:34,car,1,22,12,3,0.1
71,"Saturday, June 19, 2021",12:15:41,car,1,18,12,3,0.117
72,"Saturday, June 19, 2021",12:15:45,car,1,17,12,3,0.067
73,"Saturday, June 19, 2021",12:16:09,moto,0.5,31,12,3,0.4
74,"Saturday, June 19, 2021",12:18:32,long,3,15,11,4,0.383
75,"Saturday, June 19, 2021",12:18:34,moto,0.5,23,11,4,0.033
