period,timestamp,n_pedestrians,ped_crossing,n_cars,mean_car_speed,n_cyclists,mean_cycle_speed,ped_timestamp,ped_crossing_timestamp,bike_timestamp,car_timestamp,mean_traffic_speed,ped_dens_circ,ped_dens_safe,car_dens_circ,cycle_dens_circ,traffic_dens_circ,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr,lanes,vis_segr
1,9/15/2020 9:58,7,1,11,10.57713507,0,0.0,1,1,0,5,10.57713507,0.002734867,0.0,0.072433404,0.0,0.072433404,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
2,9/15/2020 10:00,18,2,17,11.37560329,1,10.88454148,4,1,1,1,11.13007239,0.002734867,0.006792963,0.014486681,0.014486681,0.028973362,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
3,9/15/2020 10:02,7,0,12,15.71084094,0,0.0,2,0,0,1,15.71084094,0.0,0.004528642,0.014486681,0.0,0.014486681,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
4,9/15/2020 10:04,11,3,6,14.38729847,0,0.0,3,1,0,1,14.38729847,0.002734867,0.004528642,0.014486681,0.0,0.014486681,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
5,9/15/2020 10:06,7,2,21,11.99909759,2,11.27666667,1,1,1,3,11.63788213,0.002734867,0.0,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
6,9/15/2020 10:08,6,1,16,16.34118828,0,0.0,2,1,0,1,16.34118828,0.002734867,0.002264321,0.014486681,0.0,0.014486681,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
7,9/15/2020 10:10,6,0,20,13.90468574,5,10.49161034,1,0,2,3,12.19814804,0.0,0.002264321,0.043460042,0.028973362,0.072433404,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
8,9/15/2020 10:12,4,2,17,13.14067097,2,9.708301887,1,1,1,3,11.42448643,0.002734867,0.0,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
9,9/15/2020 10:14,6,3,13,14.60204255,1,16.02143836,1,1,1,2,15.31174045,0.002734867,0.0,0.028973362,0.014486681,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
10,9/15/2020 10:16,5,2,16,14.7852439,0,0.0,1,1,0,4,14.7852439,0.002734867,0.0,0.057946723,0.0,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
11,9/15/2020 10:18,4,0,27,15.08525213,1,13.400625,2,0,1,3,14.24293856,0.0,0.004528642,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
12,9/15/2020 10:20,18,2,18,15.50359927,1,9.224285714,1,1,1,2,12.36394249,0.002734867,0.0,0.028973362,0.014486681,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
13,9/15/2020 10:22,10,4,11,14.75446154,1,10.02814433,1,1,1,1,12.39130293,0.002734867,0.0,0.014486681,0.014486681,0.028973362,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
14,9/15/2020 10:24,11,4,16,14.70684677,2,12.26915888,3,1,1,1,13.48800283,0.002734867,0.004528642,0.014486681,0.014486681,0.028973362,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
15,9/15/2020 10:26,5,1,17,15.85250631,1,13.05755319,1,1,1,2,14.45502975,0.002734867,0.0,0.028973362,0.014486681,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
16,9/15/2020 10:28,7,1,18,16.22799581,0,0.0,3,1,0,1,16.22799581,0.002734867,0.004528642,0.014486681,0.0,0.014486681,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
17,9/15/2020 10:30,21,4,22,14.46485467,1,11.76833333,4,1,1,4,13.116594,0.002734867,0.006792963,0.057946723,0.014486681,0.072433404,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
18,9/15/2020 10:32,12,2,16,11.62938995,1,13.16239264,2,1,1,4,12.39589129,0.002734867,0.002264321,0.057946723,0.014486681,0.072433404,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
19,9/15/2020 10:34,7,2,22,14.19134793,4,12.21602473,1,1,1,3,13.20368633,0.002734867,0.0,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
20,9/15/2020 10:36,11,3,15,16.62691388,1,16.75974359,2,1,2,1,16.69332873,0.002734867,0.002264321,0.014486681,0.028973362,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
21,9/15/2020 10:38,5,1,11,16.24945923,1,11.76747664,2,1,1,1,14.00846794,0.002734867,0.002264321,0.014486681,0.014486681,0.028973362,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
22,9/15/2020 10:40,13,4,16,18.14756287,1,14.252,4,1,1,3,16.19978144,0.002734867,0.006792963,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
23,9/15/2020 10:42,13,5,17,17.92990251,0,0.0,1,1,0,1,17.92990251,0.002734867,0.0,0.014486681,0.0,0.014486681,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
24,9/15/2020 10:44,8,2,15,11.8646936,2,17.62872222,2,1,1,2,14.74670791,0.002734867,0.002264321,0.028973362,0.014486681,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
25,9/15/2020 10:46,10,4,13,11.18769159,5,14.79954907,2,1,1,3,12.99362033,0.002734867,0.002264321,0.043460042,0.014486681,0.057946723,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
26,9/15/2020 10:48,17,1,16,16.99537634,2,13.71444444,4,1,1,2,15.35491039,0.002734867,0.006792963,0.028973362,0.014486681,0.043460042,fsbr,1,0,1,1,1,1,6.0,1,3.5,999,0,0,0,2,1
